vote_2020,gender,census_region,education,state,age,vote_trump,sex,educd,statefip,vote_biden,sex1
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",CO,40,1,1,"College Degree (such as B.A., B.S.)",CO,0,1
Joe Biden,Female,West,"Completed some college, but no degree",CA,26,0,0,"Completed some college, but no degree",CA,1,2
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",MN,62,0,0,"College Degree (such as B.A., B.S.)",MN,1,2
Donald Trump,Male,Midwest,Doctorate degree,WI,41,1,1,Doctorate degree,WI,0,1
Joe Biden,Female,South,"Completed some college, but no degree",TN,27,0,0,"Completed some college, but no degree",TN,1,2
Donald Trump,Female,West,Completed some high school,WA,22,1,0,Completed some high school,WA,0,2
Donald Trump,Male,South,High school graduate,NC,32,1,1,High school graduate,NC,0,1
I am not sure/don't know,Male,South,"Completed some college, but no degree",FL,41,0,1,"Completed some college, but no degree",FL,0,1
Joe Biden,Female,Northeast,"Completed some graduate, but no degree",MA,70,0,0,"Completed some graduate, but no degree",MA,1,2
Donald Trump,Female,South,High school graduate,AR,69,1,0,High school graduate,AR,0,2
I am not sure/don't know,Female,Midwest,"College Degree (such as B.A., B.S.)",IL,41,0,0,"College Degree (such as B.A., B.S.)",IL,0,2
Joe Biden,Female,South,"Completed some college, but no degree",DC,33,0,0,"Completed some college, but no degree",DC,1,2
Joe Biden,Male,South,"Completed some college, but no degree",FL,68,0,1,"Completed some college, but no degree",FL,1,1
Joe Biden,Female,Midwest,"Completed some college, but no degree",NE,20,0,0,"Completed some college, but no degree",NE,1,2
Donald Trump,Male,Northeast,Doctorate degree,PA,39,1,1,Doctorate degree,PA,0,1
Donald Trump,Female,South,"Completed some college, but no degree",MS,67,1,0,"Completed some college, but no degree",MS,0,2
Joe Biden,Female,South,High school graduate,FL,82,0,0,High school graduate,FL,1,2
Donald Trump,Male,Northeast,Masters degree,CT,74,1,1,Masters degree,CT,0,1
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",OH,22,1,1,"College Degree (such as B.A., B.S.)",OH,0,1
Someone else,Female,South,"Completed some college, but no degree",TX,31,0,0,"Completed some college, but no degree",TX,0,2
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",PA,74,1,0,"College Degree (such as B.A., B.S.)",PA,0,2
Donald Trump,Female,South,Other post high school vocational training,GA,37,1,0,Other post high school vocational training,GA,0,2
Joe Biden,Male,South,"College Degree (such as B.A., B.S.)",KY,40,0,1,"College Degree (such as B.A., B.S.)",KY,1,1
Joe Biden,Male,South,"College Degree (such as B.A., B.S.)",VA,44,0,1,"College Degree (such as B.A., B.S.)",VA,1,1
I am not sure/don't know,Male,Midwest,"College Degree (such as B.A., B.S.)",WI,67,0,1,"College Degree (such as B.A., B.S.)",WI,0,1
Joe Biden,Male,West,Completed some high school,AZ,21,0,1,Completed some high school,AZ,1,1
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",TX,45,1,0,"College Degree (such as B.A., B.S.)",TX,0,2
Joe Biden,Male,West,Completed some high school,CA,21,0,1,Completed some high school,CA,1,1
Joe Biden,Male,West,"Completed some college, but no degree",UT,52,0,1,"Completed some college, but no degree",UT,1,1
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",FL,41,1,1,"College Degree (such as B.A., B.S.)",FL,0,1
Donald Trump,Male,Northeast,Doctorate degree,NY,39,1,1,Doctorate degree,NY,0,1
Donald Trump,Female,Northeast,Masters degree,NY,52,1,0,Masters degree,NY,0,2
Joe Biden,Female,Midwest,Associate Degree,MI,67,0,0,Associate Degree,MI,1,2
Joe Biden,Male,Midwest,"Completed some college, but no degree",IA,46,0,1,"Completed some college, but no degree",IA,1,1
Joe Biden,Male,Northeast,Completed some high school,CT,52,0,1,Completed some high school,CT,1,1
Donald Trump,Male,Northeast,Doctorate degree,NY,38,1,1,Doctorate degree,NY,0,1
Joe Biden,Male,Midwest,Doctorate degree,IL,46,0,1,Doctorate degree,IL,1,1
I would not vote,Male,Northeast,High school graduate,NY,55,0,1,High school graduate,NY,0,1
Someone else,Female,West,"Completed some college, but no degree",CA,59,0,0,"Completed some college, but no degree",CA,0,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",IL,63,0,0,"Completed some college, but no degree",IL,1,2
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",IL,23,1,1,"College Degree (such as B.A., B.S.)",IL,0,1
Donald Trump,Female,West,Masters degree,CA,35,1,0,Masters degree,CA,0,2
Donald Trump,Male,West,"Completed some college, but no degree",CA,63,1,1,"Completed some college, but no degree",CA,0,1
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",IL,52,1,0,"College Degree (such as B.A., B.S.)",IL,0,2
Donald Trump,Female,South,"Completed some college, but no degree",FL,48,1,0,"Completed some college, but no degree",FL,0,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",IL,34,0,1,"College Degree (such as B.A., B.S.)",IL,1,1
Donald Trump,Male,Midwest,"Completed some college, but no degree",IN,60,1,1,"Completed some college, but no degree",IN,0,1
Joe Biden,Female,West,Completed some high school,CA,59,0,0,Completed some high school,CA,1,2
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,47,0,1,"College Degree (such as B.A., B.S.)",NY,1,1
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",IL,59,0,1,"College Degree (such as B.A., B.S.)",IL,1,1
Joe Biden,Female,West,"Completed some college, but no degree",CA,25,0,0,"Completed some college, but no degree",CA,1,2
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NJ,63,0,1,"College Degree (such as B.A., B.S.)",NJ,1,1
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,45,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
I would not vote,Male,West,Completed some high school,CO,36,0,1,Completed some high school,CO,0,1
Donald Trump,Male,Midwest,High school graduate,OH,40,1,1,High school graduate,OH,0,1
I am not sure/don't know,Male,Northeast,"College Degree (such as B.A., B.S.)",MA,35,0,1,"College Degree (such as B.A., B.S.)",MA,0,1
Joe Biden,Female,Midwest,"Completed some college, but no degree",IL,25,0,0,"Completed some college, but no degree",IL,1,2
Someone else,Male,West,Associate Degree,UT,43,0,1,Associate Degree,UT,0,1
I am not sure/don't know,Male,Midwest,Associate Degree,IL,41,0,1,Associate Degree,IL,0,1
I am not sure/don't know,Female,Northeast,High school graduate,VT,60,0,0,High school graduate,VT,0,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",MI,21,0,1,"College Degree (such as B.A., B.S.)",MI,1,1
Joe Biden,Female,South,Completed some high school,FL,34,0,0,Completed some high school,FL,1,2
Joe Biden,Female,West,"Completed some graduate, but no degree",CA,18,0,0,"Completed some graduate, but no degree",CA,1,2
I am not sure/don't know,Female,Northeast,High school graduate,PA,21,0,0,High school graduate,PA,0,2
Donald Trump,Female,South,"Completed some graduate, but no degree",NC,29,1,0,"Completed some graduate, but no degree",NC,0,2
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",OH,62,0,0,"College Degree (such as B.A., B.S.)",OH,1,2
Joe Biden,Female,South,"Completed some college, but no degree",MD,25,0,0,"Completed some college, but no degree",MD,1,2
Joe Biden,Male,South,Associate Degree,FL,68,0,1,Associate Degree,FL,1,1
Joe Biden,Male,Midwest,"Completed some college, but no degree",IL,32,0,1,"Completed some college, but no degree",IL,1,1
Joe Biden,Female,West,"Completed some college, but no degree",CA,18,0,0,"Completed some college, but no degree",CA,1,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,29,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Joe Biden,Female,Midwest,Associate Degree,NE,50,0,0,Associate Degree,NE,1,2
Joe Biden,Female,Midwest,High school graduate,WI,28,0,0,High school graduate,WI,1,2
I am not sure/don't know,Female,West,Associate Degree,UT,27,0,0,Associate Degree,UT,0,2
Joe Biden,Male,West,Other post high school vocational training,AZ,22,0,1,Other post high school vocational training,AZ,1,1
Donald Trump,Female,South,"Completed some graduate, but no degree",TX,69,1,0,"Completed some graduate, but no degree",TX,0,2
Donald Trump,Male,West,Masters degree,CA,38,1,1,Masters degree,CA,0,1
I am not sure/don't know,Female,Midwest,"College Degree (such as B.A., B.S.)",MO,38,0,0,"College Degree (such as B.A., B.S.)",MO,0,2
I am not sure/don't know,Female,Northeast,Masters degree,CT,47,0,0,Masters degree,CT,0,2
Someone else,Male,West,High school graduate,CA,20,0,1,High school graduate,CA,0,1
I would not vote,Male,West,High school graduate,NV,26,0,1,High school graduate,NV,0,1
Donald Trump,Female,Northeast,Associate Degree,NH,66,1,0,Associate Degree,NH,0,2
Donald Trump,Female,West,"Completed some college, but no degree",CA,70,1,0,"Completed some college, but no degree",CA,0,2
I am not sure/don't know,Female,South,Other post high school vocational training,TX,67,0,0,Other post high school vocational training,TX,0,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,39,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Joe Biden,Male,Midwest,High school graduate,MO,26,0,1,High school graduate,MO,1,1
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",CT,44,0,1,"College Degree (such as B.A., B.S.)",CT,1,1
Joe Biden,Female,Midwest,Completed some high school,MI,31,0,0,Completed some high school,MI,1,2
Donald Trump,Female,West,Completed some high school,UT,31,1,0,Completed some high school,UT,0,2
Donald Trump,Male,Midwest,Doctorate degree,MI,40,1,1,Doctorate degree,MI,0,1
I would not vote,Female,South,Completed some high school,FL,20,0,0,Completed some high school,FL,0,2
I am not sure/don't know,Female,Northeast,"Completed some college, but no degree",PA,19,0,0,"Completed some college, but no degree",PA,0,2
Donald Trump,Female,South,High school graduate,TX,64,1,0,High school graduate,TX,0,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",TX,34,0,0,"College Degree (such as B.A., B.S.)",TX,1,2
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",WA,38,0,0,"College Degree (such as B.A., B.S.)",WA,1,2
I would not vote,Female,Midwest,High school graduate,OH,32,0,0,High school graduate,OH,0,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",MO,59,0,1,"College Degree (such as B.A., B.S.)",MO,1,1
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",IL,61,1,0,"College Degree (such as B.A., B.S.)",IL,0,2
I am not sure/don't know,Male,Northeast,High school graduate,NY,18,0,1,High school graduate,NY,0,1
I am not sure/don't know,Female,South,"Completed some graduate, but no degree",TX,26,0,0,"Completed some graduate, but no degree",TX,0,2
I am not sure/don't know,Male,Northeast,Completed some high school,NJ,18,0,1,Completed some high school,NJ,0,1
I am not sure/don't know,Female,West,"Completed some college, but no degree",FL,35,0,0,"Completed some college, but no degree",FL,0,2
Joe Biden,Male,West,Associate Degree,CA,70,0,1,Associate Degree,CA,1,1
Donald Trump,Female,South,Other post high school vocational training,FL,49,1,0,Other post high school vocational training,FL,0,2
Donald Trump,Male,Midwest,"Completed some college, but no degree",OH,50,1,1,"Completed some college, but no degree",OH,0,1
Joe Biden,Female,West,Completed some high school,CA,18,0,0,Completed some high school,CA,1,2
Donald Trump,Female,West,Completed some high school,UT,32,1,0,Completed some high school,UT,0,2
Donald Trump,Male,South,Completed some high school,KY,45,1,1,Completed some high school,KY,0,1
Joe Biden,Female,South,"Completed some college, but no degree",GA,44,0,0,"Completed some college, but no degree",GA,1,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",OH,65,0,1,"College Degree (such as B.A., B.S.)",OH,1,1
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CA,27,0,1,"College Degree (such as B.A., B.S.)",CA,1,1
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",IN,33,1,0,"College Degree (such as B.A., B.S.)",IN,0,2
I would not vote,Male,West,"Completed some college, but no degree",CA,64,0,1,"Completed some college, but no degree",CA,0,1
I am not sure/don't know,Male,Midwest,High school graduate,NE,18,0,1,High school graduate,NE,0,1
Someone else,Female,Northeast,"College Degree (such as B.A., B.S.)",CT,35,0,0,"College Degree (such as B.A., B.S.)",CT,0,2
Someone else,Female,Midwest,High school graduate,WI,18,0,0,High school graduate,WI,0,2
Joe Biden,Male,Midwest,Doctorate degree,IN,81,0,1,Doctorate degree,IN,1,1
Joe Biden,Female,Midwest,"Completed some college, but no degree",MO,50,0,0,"Completed some college, but no degree",MO,1,2
I am not sure/don't know,Male,South,"College Degree (such as B.A., B.S.)",FL,60,0,1,"College Degree (such as B.A., B.S.)",FL,0,1
Joe Biden,Female,Midwest,High school graduate,IL,28,0,0,High school graduate,IL,1,2
Donald Trump,Male,West,"College Degree (such as B.A., B.S.)",NM,30,1,1,"College Degree (such as B.A., B.S.)",NM,0,1
Joe Biden,Male,Midwest,"Completed some college, but no degree",WI,40,0,1,"Completed some college, but no degree",WI,1,1
Joe Biden,Male,South,Completed some high school,TX,40,0,1,Completed some high school,TX,1,1
Someone else,Male,South,"Completed some college, but no degree",VA,30,0,1,"Completed some college, but no degree",VA,0,1
Joe Biden,Female,Midwest,"Completed some college, but no degree",OH,20,0,0,"Completed some college, but no degree",OH,1,2
Donald Trump,Male,Northeast,Masters degree,NY,61,1,1,Masters degree,NY,0,1
Joe Biden,Female,Midwest,"Completed some college, but no degree",KS,30,0,0,"Completed some college, but no degree",KS,1,2
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",WI,63,1,1,"College Degree (such as B.A., B.S.)",WI,0,1
Joe Biden,Female,Midwest,"College Degree (such as B.A., B.S.)",MN,54,0,0,"College Degree (such as B.A., B.S.)",MN,1,2
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",NJ,60,1,0,"College Degree (such as B.A., B.S.)",NJ,0,2
I would not vote,Female,West,"Completed some college, but no degree",ID,24,0,0,"Completed some college, but no degree",ID,0,2
Someone else,Male,Northeast,"College Degree (such as B.A., B.S.)",PA,64,0,1,"College Degree (such as B.A., B.S.)",PA,0,1
Joe Biden,Male,Northeast,Masters degree,NY,72,0,1,Masters degree,NY,1,1
I would not vote,Female,Midwest,Completed some high school,OH,29,0,0,Completed some high school,OH,0,2
Donald Trump,Male,South,Completed some high school,NC,47,1,1,Completed some high school,NC,0,1
Joe Biden,Female,West,Associate Degree,CA,38,0,0,Associate Degree,CA,1,2
Donald Trump,Female,West,"Completed some college, but no degree",CA,49,1,0,"Completed some college, but no degree",CA,0,2
Joe Biden,Female,West,"Completed some college, but no degree",UT,54,0,0,"Completed some college, but no degree",UT,1,2
Joe Biden,Male,Northeast,Associate Degree,NY,67,0,1,Associate Degree,NY,1,1
Joe Biden,Male,West,Doctorate degree,CA,40,0,1,Doctorate degree,CA,1,1
Joe Biden,Female,South,Associate Degree,NC,56,0,0,Associate Degree,NC,1,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",AR,59,0,0,"College Degree (such as B.A., B.S.)",AR,1,2
Someone else,Male,West,"Completed some college, but no degree",CA,20,0,1,"Completed some college, but no degree",CA,0,1
Donald Trump,Female,South,Masters degree,VA,68,1,0,Masters degree,VA,0,2
Joe Biden,Male,Midwest,"Completed some graduate, but no degree",SD,32,0,1,"Completed some graduate, but no degree",SD,1,1
Joe Biden,Male,West,"Completed some college, but no degree",AZ,69,0,1,"Completed some college, but no degree",AZ,1,1
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CO,37,0,1,"College Degree (such as B.A., B.S.)",CO,1,1
I am not sure/don't know,Female,South,"Completed some college, but no degree",KY,35,0,0,"Completed some college, but no degree",KY,0,2
I would not vote,Female,South,Completed some high school,TX,18,0,0,Completed some high school,TX,0,2
Joe Biden,Female,West,Masters degree,HI,48,0,0,Masters degree,HI,1,2
I am not sure/don't know,Male,West,"College Degree (such as B.A., B.S.)",CA,44,0,1,"College Degree (such as B.A., B.S.)",CA,0,1
Joe Biden,Male,South,"College Degree (such as B.A., B.S.)",TN,62,0,1,"College Degree (such as B.A., B.S.)",TN,1,1
Someone else,Male,Midwest,Associate Degree,WI,36,0,1,Associate Degree,WI,0,1
Joe Biden,Female,South,Completed some high school,NC,21,0,0,Completed some high school,NC,1,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",OH,68,0,1,"College Degree (such as B.A., B.S.)",OH,1,1
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",OK,36,1,1,"College Degree (such as B.A., B.S.)",OK,0,1
I am not sure/don't know,Female,Northeast,Completed some high school,MA,29,0,0,Completed some high school,MA,0,2
I would not vote,Female,South,"Completed some college, but no degree",GA,41,0,0,"Completed some college, but no degree",GA,0,2
Joe Biden,Male,Midwest,"Completed some college, but no degree",IN,60,0,1,"Completed some college, but no degree",IN,1,1
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",NY,43,1,0,"College Degree (such as B.A., B.S.)",NY,0,2
Donald Trump,Male,Northeast,"Completed some college, but no degree",NY,61,1,1,"Completed some college, but no degree",NY,0,1
Donald Trump,Female,Midwest,Completed some high school,OH,39,1,0,Completed some high school,OH,0,2
I am not sure/don't know,Male,Midwest,"College Degree (such as B.A., B.S.)",NE,50,0,1,"College Degree (such as B.A., B.S.)",NE,0,1
Donald Trump,Male,Midwest,High school graduate,MI,35,1,1,High school graduate,MI,0,1
I would not vote,Female,West,Completed some high school,CO,52,0,0,Completed some high school,CO,0,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",SC,24,0,0,"College Degree (such as B.A., B.S.)",SC,1,2
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",CA,56,0,1,"College Degree (such as B.A., B.S.)",CA,1,1
Donald Trump,Female,South,Other post high school vocational training,GA,41,1,0,Other post high school vocational training,GA,0,2
Someone else,Female,West,"Completed some college, but no degree",AZ,24,0,0,"Completed some college, but no degree",AZ,0,2
Donald Trump,Male,Midwest,"Completed some graduate, but no degree",WI,62,1,1,"Completed some graduate, but no degree",WI,0,1
Donald Trump,Male,West,Completed some high school,OR,49,1,1,Completed some high school,OR,0,1
I would not vote,Male,Midwest,Completed some high school,KS,49,0,1,Completed some high school,KS,0,1
Donald Trump,Male,South,"Completed some college, but no degree",NC,23,1,1,"Completed some college, but no degree",NC,0,1
Donald Trump,Female,South,"Completed some college, but no degree",AL,38,1,0,"Completed some college, but no degree",AL,0,2
Joe Biden,Female,South,Completed some high school,DE,39,0,0,Completed some high school,DE,1,2
Donald Trump,Male,Northeast,Doctorate degree,NY,42,1,1,Doctorate degree,NY,0,1
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",WI,48,1,0,"College Degree (such as B.A., B.S.)",WI,0,2
I would not vote,Male,South,Doctorate degree,VA,33,0,1,Doctorate degree,VA,0,1
I am not sure/don't know,Female,Northeast,"Completed some college, but no degree",NJ,41,0,0,"Completed some college, but no degree",NJ,0,2
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",MI,52,1,0,"College Degree (such as B.A., B.S.)",MI,0,2
Joe Biden,Female,South,"College Degree (such as B.A., B.S.)",KY,54,0,0,"College Degree (such as B.A., B.S.)",KY,1,2
I would not vote,Male,Northeast,Associate Degree,NJ,39,0,1,Associate Degree,NJ,0,1
Joe Biden,Male,South,Masters degree,MD,59,0,1,Masters degree,MD,1,1
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",PA,67,0,0,"College Degree (such as B.A., B.S.)",PA,1,2
Donald Trump,Male,West,"Completed some college, but no degree",CO,68,1,1,"Completed some college, but no degree",CO,0,1
Donald Trump,Male,South,Doctorate degree,FL,75,1,1,Doctorate degree,FL,0,1
Joe Biden,Female,Northeast,"College Degree (such as B.A., B.S.)",NY,43,0,0,"College Degree (such as B.A., B.S.)",NY,1,2
I would not vote,Male,Midwest,High school graduate,WI,31,0,1,High school graduate,WI,0,1
Donald Trump,Male,West,Masters degree,CA,43,1,1,Masters degree,CA,0,1
Donald Trump,Female,South,"Completed some college, but no degree",TX,32,1,0,"Completed some college, but no degree",TX,0,2
Joe Biden,Female,Northeast,"Completed some college, but no degree",PA,64,0,0,"Completed some college, but no degree",PA,1,2
Donald Trump,Male,South,Masters degree,GA,63,1,1,Masters degree,GA,0,1
Donald Trump,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,22,1,1,"College Degree (such as B.A., B.S.)",NY,0,1
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",CT,63,1,0,"College Degree (such as B.A., B.S.)",CT,0,2
Someone else,Male,South,"Completed some college, but no degree",VA,45,0,1,"Completed some college, but no degree",VA,0,1
I am not sure/don't know,Female,Northeast,"College Degree (such as B.A., B.S.)",CT,21,0,0,"College Degree (such as B.A., B.S.)",CT,0,2
I am not sure/don't know,Male,West,Associate Degree,NV,29,0,1,Associate Degree,NV,0,1
Joe Biden,Female,Midwest,"Completed some graduate, but no degree",IL,64,0,0,"Completed some graduate, but no degree",IL,1,2
Donald Trump,Female,Midwest,High school graduate,MO,55,1,0,High school graduate,MO,0,2
Someone else,Female,Northeast,"College Degree (such as B.A., B.S.)",MA,27,0,0,"College Degree (such as B.A., B.S.)",MA,0,2
Joe Biden,Female,Northeast,High school graduate,RI,25,0,0,High school graduate,RI,1,2
Donald Trump,Female,Northeast,"College Degree (such as B.A., B.S.)",NY,40,1,0,"College Degree (such as B.A., B.S.)",NY,0,2
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",MI,31,1,0,"College Degree (such as B.A., B.S.)",MI,0,2
Joe Biden,Female,Northeast,Associate Degree,NY,62,0,0,Associate Degree,NY,1,2
I would not vote,Female,Northeast,Associate Degree,MA,53,0,0,Associate Degree,MA,0,2
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",VA,31,1,1,"College Degree (such as B.A., B.S.)",VA,0,1
Joe Biden,Female,South,Associate Degree,FL,53,0,0,Associate Degree,FL,1,2
I am not sure/don't know,Female,Northeast,High school graduate,NY,71,0,0,High school graduate,NY,0,2
Joe Biden,Female,Northeast,"Completed some graduate, but no degree",MA,23,0,0,"Completed some graduate, but no degree",MA,1,2
Joe Biden,Female,South,"Completed some college, but no degree",FL,66,0,0,"Completed some college, but no degree",FL,1,2
I am not sure/don't know,Female,Midwest,Associate Degree,OH,43,0,0,Associate Degree,OH,0,2
Joe Biden,Female,South,Completed some high school,TX,37,0,0,Completed some high school,TX,1,2
Joe Biden,Male,Midwest,"College Degree (such as B.A., B.S.)",WI,27,0,1,"College Degree (such as B.A., B.S.)",WI,1,1
Joe Biden,Female,Midwest,Completed some high school,IL,26,0,0,Completed some high school,IL,1,2
I am not sure/don't know,Female,West,"Completed some college, but no degree",CA,19,0,0,"Completed some college, but no degree",CA,0,2
I am not sure/don't know,Female,South,High school graduate,FL,32,0,0,High school graduate,FL,0,2
Donald Trump,Female,South,High school graduate,VA,18,1,0,High school graduate,VA,0,2
Donald Trump,Female,West,"Completed some college, but no degree",CA,56,1,0,"Completed some college, but no degree",CA,0,2
I am not sure/don't know,Female,Northeast,"College Degree (such as B.A., B.S.)",MA,59,0,0,"College Degree (such as B.A., B.S.)",MA,0,2
I would not vote,Male,West,"Completed some college, but no degree",AZ,79,0,1,"Completed some college, but no degree",AZ,0,1
Donald Trump,Female,Northeast,Masters degree,PA,60,1,0,Masters degree,PA,0,2
Donald Trump,Male,South,Masters degree,VA,40,1,1,Masters degree,VA,0,1
Someone else,Female,Midwest,"Completed some college, but no degree",IL,19,0,0,"Completed some college, but no degree",IL,0,2
Donald Trump,Female,South,Associate Degree,MS,38,1,0,Associate Degree,MS,0,2
I am not sure/don't know,Female,West,Masters degree,UT,70,0,0,Masters degree,UT,0,2
I would not vote,Female,South,"Completed some college, but no degree",FL,50,0,0,"Completed some college, but no degree",FL,0,2
Donald Trump,Male,Midwest,"College Degree (such as B.A., B.S.)",KS,51,1,1,"College Degree (such as B.A., B.S.)",KS,0,1
Donald Trump,Male,South,"Completed some college, but no degree",LA,26,1,1,"Completed some college, but no degree",LA,0,1
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",VA,50,1,1,"College Degree (such as B.A., B.S.)",VA,0,1
I am not sure/don't know,Male,Northeast,High school graduate,NY,18,0,1,High school graduate,NY,0,1
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",TX,71,1,1,"College Degree (such as B.A., B.S.)",TX,0,1
Joe Biden,Female,South,"Completed some college, but no degree",TX,33,0,0,"Completed some college, but no degree",TX,1,2
Joe Biden,Female,Northeast,Completed some high school,NJ,72,0,0,Completed some high school,NJ,1,2
Donald Trump,Female,South,"Completed some college, but no degree",TX,54,1,0,"Completed some college, but no degree",TX,0,2
Joe Biden,Female,South,"Completed some college, but no degree",MD,24,0,0,"Completed some college, but no degree",MD,1,2
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",GA,61,1,0,"College Degree (such as B.A., B.S.)",GA,0,2
Donald Trump,Female,Midwest,"Completed some college, but no degree",OH,24,1,0,"Completed some college, but no degree",OH,0,2
Donald Trump,Female,West,Completed some high school,CA,65,1,0,Completed some high school,CA,0,2
Donald Trump,Female,Midwest,Completed some high school,MI,18,1,0,Completed some high school,MI,0,2
I would not vote,Male,Northeast,Masters degree,NY,51,0,1,Masters degree,NY,0,1
Joe Biden,Female,Northeast,Other post high school vocational training,NJ,53,0,0,Other post high school vocational training,NJ,1,2
Donald Trump,Female,Midwest,"College Degree (such as B.A., B.S.)",OH,29,1,0,"College Degree (such as B.A., B.S.)",OH,0,2
Joe Biden,Female,Midwest,"Completed some college, but no degree",IN,39,0,0,"Completed some college, but no degree",IN,1,2
Joe Biden,Male,Northeast,"College Degree (such as B.A., B.S.)",NY,36,0,1,"College Degree (such as B.A., B.S.)",NY,1,1
Joe Biden,Male,West,"College Degree (such as B.A., B.S.)",MT,35,0,1,"College Degree (such as B.A., B.S.)",MT,1,1
Joe Biden,Female,West,"Completed some college, but no degree",CA,68,0,0,"Completed some college, but no degree",CA,1,2
Donald Trump,Male,Northeast,Masters degree,NY,40,1,1,Masters degree,NY,0,1
Someone else,Male,West,Completed some high school,CO,56,0,1,Completed some high school,CO,0,1
Joe Biden,Female,South,"Completed some college, but no degree",AL,19,0,0,"Completed some college, but no degree",AL,1,2
Joe Biden,Male,West,"Completed some college, but no degree",CA,19,0,1,"Completed some college, but no degree",CA,1,1
I am not sure/don't know,Male,West,"Completed some college, but no degree",UT,64,0,1,"Completed some college, but no degree",UT,0,1
Joe Biden,Female,Northeast,High school graduate,NY,31,0,0,High school graduate,NY,1,2
Joe Biden,Female,West,"Completed some college, but no degree",OR,26,0,0,"Completed some college, but no degree",OR,1,2
Joe Biden,Male,South,Masters degree,TX,40,0,1,Masters degree,TX,1,1
Donald Trump,Female,West,High school graduate,OR,57,1,0,High school graduate,OR,0,2
Donald Trump,Female,South,Other post high school vocational training,FL,36,1,0,Other post high school vocational training,FL,0,2
Donald Trump,Male,South,"College Degree (such as B.A., B.S.)",TX,49,1,1,"College Degree (such as B.A., B.S.)",TX,0,1
I am not sure/don't know,Male,Midwest,"Completed some college, but no degree",IL,46,0,1,"Completed some college, but no degree",IL,0,1
Joe Biden,Female,West,"College Degree (such as B.A., B.S.)",CA,47,0,0,"College Degree (such as B.A., B.S.)",CA,1,2
Joe Biden,Male,South,Doctorate degree,FL,42,0,1,Doctorate degree,FL,1,1
Donald Trump,Female,Northeast,Completed some high school,CT,55,1,0,Completed some high school,CT,0,2
Joe Biden,Male,Midwest,High school graduate,OH,18,0,1,High school graduate,OH,1,1
Donald Trump,Female,South,"College Degree (such as B.A., B.S.)",TX,37,1,0,"College Degree (such as B.A., B.S.)",TX,0,2
Joe Biden,Female,West,Masters degree,CA,64,0,0,Masters degree,CA,1,2
Donald Trump,Male,South,Associate Degree,GA,56,1,1,Associate Degree,GA,0,1
